,Name,Ticker
0,Exxon Mobil Corporation,XOM
1,Berkshire Hathaway Inc.,BRK-A
2,AT&T Inc.,T
3,Citigroup Inc.,C
4,Microsoft Corporation,MSFT
5,Wells Fargo & Company,WFC
6,General Electric Company,GE
7,Ford Motor Company,F
8,Pfizer Inc.,PFE
9,Intel Corporation,INTC
10,Johnson & Johnson,JNJ
11,ConocoPhillips,COP
12,The Procter & Gamble Company,PG
13,"Altria Group, Inc.",MO
14,"Merck & Co., Inc.",MRK
15,"Pepsico, Inc.",PEP
16,UnitedHealth Group Incorporated,UNH
17,The Coca-Cola Company,KO
18,"The Home Depot, Inc.",HD
19,Union Pacific Corporation,UNP
20,Bristol-Myers Squibb Company,BMY
21,"Delta Air Lines, Inc.",DAL
22,The Boeing Company,BA
23,General Motors Company,GM
24,Hewlett Packard Enterprise Company,HPE
25,Morgan Stanley,MS-PF
26,Owens Corning,OC
27,"DuPont Fabros Technology, Inc.",DFT
28,The Dow Chemical Company,DOW
29,United Technologies Corporation,UTX
30,U.S. Bancorp,USB
31,"MetLife, Inc.",MET
32,American Express Company,AXP
33,Occidental Petroleum Corporation,OXY
34,Time Warner Inc.,TWX
35,Caterpillar Inc.,CAT
36,Abbott Laboratories,ABT
37,Texas Instruments Incorporated,TXN
38,CSX Corporation,CSX
39,Valero Energy Corporation,VLO
40,Norfolk Southern Corporation,NSC
41,3M Company,MMM
42,Lockheed Martin Corporation,LMT
43,Corning Incorporated,GLW
44,Marathon Oil Corporation,MRO
45,McKesson Corporation,MCK
46,Eli Lilly and Company,LLY
47,Baxter International Inc.,BAX
48,FedEx Corporation,FDX
49,Loews Corporation,L
50,"NIKE, Inc.",NKE
51,Exelon Corporation,EXC
52,Deere & Company,DE
53,Halliburton Company,HAL
54,Southwest Airlines Co.,LUV
55,"Applied Materials, Inc.",AMAT
56,Target Corporation,TGT
57,Danaher Corporation,DHR
58,General Dynamics Corporation,GD
59,"PPG Industries, Inc.",PPG
60,Northrop Grumman Corporation,NOC
61,The Kroger Co.,KR
62,"The TJX Companies, Inc.",TJX
63,Duke Energy Corporation,DUK
64,"Tyson Foods, Inc.",TSN
65,CBS Corporation,CBS
66,Illinois Tool Works Inc.,ITW
67,Raytheon Company,RTN
68,Sealed Air Corporation,SEE
69,"SunTrust Banks, Inc.",STI
70,Monsanto Company,MON
71,Emerson Electric Co.,EMR
72,Cigna Corporation,CI
73,The Progressive Corporation,PGR
74,Alcoa Corporation,AA
75,"Marsh & McLennan Companies, Inc.",MMC
76,Colgate-Palmolive Company,CL
77,The Goodyear Tire & Rubber Company,GT
78,The Southern Company,SO
79,Humana Inc.,HUM
80,Baker Hughes Incorporated,BHI
81,"Viacom, Inc.",VIAB
82,"Publix Super Markets, Inc.",PUSH
83,Nucor Corporation,NUE
84,Kimberly-Clark Corporation,KMB
85,Archer-Daniels-Midland Company,ADM
86,Textron Inc.,TXT
87,PACCAR Inc,PCAR
88,"The Williams Companies, Inc.",WMB
89,International Paper Company,IP
90,Cummins Inc.,CMI
91,"General Mills, Inc.",GIS
92,,
93,Rite Aid Corporation,RAD
94,Lincoln National Corporation,LNC
95,"American Electric Power Company, Inc.",AEP
96,Ashland Global Holdings Inc.,ASH
97,"Waste Management, Inc.",WM
98,"Cardinal Health, Inc.",CAH
99,PPL Corporation,PPL
100,First Data Corporation,FDC
101,,
102,Northwestern Corporation,NWE
103,Weyerhaeuser Co.,WY
104,Kellogg Company,K
105,"CenterPoint Energy, Inc.",CNP
106,The Sherwin-Williams Company,SHW
107,"Praxair, Inc.",PX
108,Navistar International Corporation,NAV
109,"Gannett Co., Inc.",GCI
110,Public Service Enterprise Group Incorporated,PEG
111,AmerisourceBergen Corporation,ABC
112,Johnson Controls International plc,JCI
113,Edison International,EIX
114,"Consolidated Edison, Inc.",ED
115,Rockwell Automation Inc.,ROK
116,"Best Buy Co., Inc.",BBY
117,Xerox Corporation,XRX
118,Sysco Corporation,SYY
119,Eastman Chemical Company,EMN
120,Entergy Corporation,ETR
121,"Owens-Illinois, Inc.",OI
122,"Becton, Dickinson and Company",BDX
123,Lear Corporation,LEA
124,"The Gap, Inc.",GPS
125,,
126,VFC,
127,Campbell Soup Company,CPB
128,"J. C. Penney Company, Inc.",JCP
129,Tenet Healthcare Corp.,THC
130,DTE Energy Company,DTE
131,The Clorox Company,CLX
132,"McGraw Hill Financial, Inc.",MHFI
133,KHC,
134,Hormel Foods Corporation,HRL
135,Dover Corporation,DOV
136,CAG,
137,Masco Corporation,MAS
138,"Mattel, Inc.",MAT
139,Whirlpool Corporation,WHR
140,"Avon Products, Inc.",AVP
141,Dean Foods Company,DF
142,Genuine Parts Company,GPC
143,"W.W. Grainger, Inc.",GWW
144,"Ryder System, Inc.",R
145,KO,
146,"Nordstrom, Inc.",JWN
147,"Arrow Electronics, Inc.",ARW
148,"Avnet, Inc.",AVT
149,"Foot Locker, Inc.",FL
150,CMS Energy Corporation,CMS
151,SUPERVALU Inc.,SVU
152,Pitney Bowes Inc.,PBI
153,"Crown Holdings, Inc.",CCK
154,NCR Corporation,NCR
155,"Office Depot, Inc.",ODP
156,NWL,
157,Ball Corporation,BLL
158,Avery Dennison Corporation,AVY
159,"Office Depot, Inc.",ODP
160,R.R. Donnelley & Sons Company,RRD
161,Tech Data Corporation,TECD
162,,
163,"Owens & Minor, Inc.",OMI
